invoiceId,billingAccountId,billingAccountName,previousInvoiceId,billingProfileId,billingProfileName,invoiceSectionId,invoiceSectionName,partnerTenantId,partnerName,resellerName,resellerMpnId,customerTenantId,customerName,costCenter,billingPeriodStartDate,billingPeriodEndDate,servicePeriodStartDate,servicePeriodEndDate,date,serviceFamily,productOrderId,productOrderName,consumedService,meterId,meterName,meterCategory,meterSubCategory,meterRegion,productId,product,subscriptionId,subscriptionName,publisherType,publisherId,publisherName,resourceGroupName,resourceId,resourceLocation,location,effectivePrice,quantity,unitOfMeasure,chargeType,billingCurrency,pricingCurrency,costInBillingCurrency,costInPricingCurrency,costInUsd,paygCostInBillingCurrency,paygCostInUsd,exchangeRatePricingToBilling,exchangeRateDate,isAzureCreditEligible,serviceInfo1,serviceInfo2,additionalInfo,tags,partnerEarnedCreditRate,partnerEarnedCreditApplied,payGPrice,frequency,term,reservationId,reservationName,pricingModel,unitPrice,costAllocationRuleName,provider,benefitId,benefitName
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/02/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,3336fed2-e64d-5639-951a-806ead2ede4b,gpt 4o 1120 Outp glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG71HZD,Azure OpenAI - gpt 4o 1120 Outp glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.01,10.599,1K,Usage,USD,USD,0.10599,0.10599,0.10599,0.10599,0.10599,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o""}",0,0,0.01,UsageBased,,,,OnDemand,0.01,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/28/2026,Storage,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.Storage,b34bbb76-edce-4c2d-a288-81a2db1fea53,Hot LRS Write Operations - Free,Storage,Blob Storage,,DZH318Z0BNZJ00GG,Blob Storage - Hot LRS,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,rg-isaac_gavilanes,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/rg-isaac_gavilanes/providers/Microsoft.Storage/storageAccounts/mateoszure8800773124,eastus2,US East 2,0,0.0003,10K,Usage,USD,USD,0,0,0,0,0,1,02/01/2026,True,,,"{""ConsumptionMeter"":""3d7aa86c-0e9d-4139-b59f-cc5bad92b873""}",,0,0,0,UsageBased,,,,OnDemand,0,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/01/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,7683c9bf-0112-59d3-8667-5d4460aa47b9,gpt 4o mini 0718 cached Inp glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG71FN8,Azure OpenAI - gpt 4o mini 0718 cached Inp glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.000075,21.504,1K,Usage,USD,USD,0.0016128,0.0016128,0.0016128,0.0016128,0.0016128,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o-mini""}",0,0,0.000075,UsageBased,,,,OnDemand,0.000075,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/09/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,8a5a8abb-6dbf-530a-9f40-7b17658df0f2,gpt-4o-mini-0718-Outp-glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG70H34,Azure OpenAI - gpt-4o-mini-0718-Outp-glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.0006,6.052,1K,Usage,USD,USD,0.0036312,0.0036312,0.0036312,0.0036312,0.0036312,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o-mini""}",0,0,0.0006,UsageBased,,,,OnDemand,0.0006,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/15/2026,Storage,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.Storage,b34bbb76-edce-4c2d-a288-81a2db1fea53,Hot LRS Write Operations - Free,Storage,Blob Storage,,DZH318Z0BNZJ00GG,Blob Storage - Hot LRS,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,rg-isaac_gavilanes,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/rg-isaac_gavilanes/providers/Microsoft.Storage/storageAccounts/mateoszure8800773124,eastus2,US East 2,0,0.0006,10K,Usage,USD,USD,0,0,0,0,0,1,02/01/2026,True,,,"{""ConsumptionMeter"":""3d7aa86c-0e9d-4139-b59f-cc5bad92b873""}",,0,0,0,UsageBased,,,,OnDemand,0,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/04/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,3336fed2-e64d-5639-951a-806ead2ede4b,gpt 4o 1120 Outp glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG71HZD,Azure OpenAI - gpt 4o 1120 Outp glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.01,6.563,1K,Usage,USD,USD,0.06563,0.06563,0.06563,0.06563,0.06563,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o""}",0,0,0.01,UsageBased,,,,OnDemand,0.01,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/08/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,3ba7b4f7-d853-55b2-ab71-dcbee21a6277,gpt 4o 1120 Inp glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG71HZC,Azure OpenAI - gpt 4o 1120 Inp glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.0025,76.435,1K,Usage,USD,USD,0.1910875,0.1910875,0.1910875,0.1910875,0.1910875,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o""}",0,0,0.0025,UsageBased,,,,OnDemand,0.0025,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/02/2026,Storage,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.Storage,b34bbb76-edce-4c2d-a288-81a2db1fea53,Hot LRS Write Operations - Free,Storage,Blob Storage,,DZH318Z0BNZJ00GG,Blob Storage - Hot LRS,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,rg-isaac_gavilanes,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/rg-isaac_gavilanes/providers/Microsoft.Storage/storageAccounts/mateoszure8800773124,eastus2,US East 2,0,0.0006,10K,Usage,USD,USD,0,0,0,0,0,1,02/01/2026,True,,,"{""ConsumptionMeter"":""3d7aa86c-0e9d-4139-b59f-cc5bad92b873""}",,0,0,0,UsageBased,,,,OnDemand,0,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/07/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,8a5a8abb-6dbf-530a-9f40-7b17658df0f2,gpt-4o-mini-0718-Outp-glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG70H34,Azure OpenAI - gpt-4o-mini-0718-Outp-glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.0006,7.055999999999999,1K,Usage,USD,USD,0.0042336,0.0042336,0.0042336,0.0042336,0.0042336,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o-mini""}",0,0,0.0006,UsageBased,,,,OnDemand,0.0006,,Azure,,
,4aa5f44a-73ae-57b2-7b8a-a206285d96d1,Arianna,,6EJL-U4DT-BG7-PGB,ISAAC MATEO GAVILANES CHAVEZ,15d753e3-f3ed-446f-a12f-dab8e25e064e,ISAAC MATEO GAVILANES CHAVEZ,,,,,,ISAAC MATEO GAVILANES CHAVEZ,,,,02/01/2026,03/01/2026,02/07/2026,AI + Machine Learning,b658507d-ed43-449f-dc5c-5034ba0e6e2a,Azure plan,Microsoft.CognitiveServices,3336fed2-e64d-5639-951a-806ead2ede4b,gpt 4o 1120 Outp glbl Tokens,Foundry Models,Azure OpenAI,US East,DZH318Z0HHG71HZD,Azure OpenAI - gpt 4o 1120 Outp glbl - US East,7a7b9833-cff6-40a0-bd42-79fbb2422f32,Suscripción de Azure 1,Microsoft,,Microsoft,RG_AI_Projects,/subscriptions/7a7b9833-cff6-40a0-bd42-79fbb2422f32/resourceGroups/RG_AI_Projects/providers/Microsoft.CognitiveServices/accounts/openai-isaac-biomed,eastus,US East,0.01,33.135999999999996,1K,Usage,USD,USD,0.33136,0.33136,0.33136,0.33136,0.33136,1,02/01/2026,True,,,,"{""Mineria_Texto_Biomedico"":""DEV"",""deployment"":""gpt-4o""}",0,0,0.01,UsageBased,,,,OnDemand,0.01,,Azure,,
