PAPER_TITLE,DOI,YEAR,OPEN_ACCESS_OA,FUNDING_OA,AUTHOR_NAME,AUTHOR_POS_OA,IS_CORRESPONDING_OA,AFFILIATION_OA,GEO_COUNTRY_OA,AUTHOR_ID_OA,ORCID,WORKS_COUNT_OA,CITATIONS_OA,HINDEX_OA,I10INDEX_OA,2YR_MEAN_OA,TOPICS_OA,PRIMARY_TOPIC_OA,KEYWORDS_OA,PMID_PM,MESH_PM,FUNDING_PM,AUTHOR_NAME_PM,AFFILIATION_PM,AUTHOR_ID_SC,AUTHOR_NAME_SC,AFFILIATION_SC,FUNDING_SC,INFLUENTIAL_CITATIONS_SS,CITATION_CONTEXTS_SS,AUTHOR_ID_SS,AUTHOR_NAME_SS,ORCID_SS,HINDEX_SS,CITATIONS_SS,HINDEX_SC,CITATIONS_SC,DOC_COUNT_SC,SUBJECT_AREAS_SC,SENIORITY_SC,AUTHOR_ID_GS,INTERESTS_GS,ORCID_EMPLOYMENT,GENDER,PROFILE_CLASSIFICATION
The physician as a catalyst: Reimagining medical education for an AI era,10.1080/0142159X.2026.2653205,2026,False,No data,Milit S Patel,first,False,Massachusetts Institute of Technology,US,A5122138096,No data,9,0,0,0,0.0,Artificial Intelligence in Healthcare and Education | Global Health and Surgery | Cervical Cancer and HPV Research | Global Cancer Incidence and Screening | Endometrial and Cervical Cancer Treatments,Artificial Intelligence in Healthcare and Education,"Medical education, Medicine, Family medicine, MEDLINE, Continuing medical education",41961831,No data,No data,Milit S Patel,"Department of Molecular Biosciences, The University of Texas at Austin, Austin, TX, USA.",60214772400,SKIP,,No data,0,,2391112104,Milit S. Patel,NO_ORCID_SS,1,2,1,3,0,"Otorhinolaryngology | Cancer Research | Oncology | Public Health, Environmental and Occupational Health | Education | Medicine (all)",Early-career (1 yrs),7D0gO2AAAAAJ,machine learning | artificial intelligence | health disparities,No ORCID ID,Male,HYBRID_MED_TECH | Male
The physician as a catalyst: Reimagining medical education for an AI era,10.1080/0142159X.2026.2653205,2026,False,No data,Edward Christopher Dee,middle,False,Memorial Sloan Kettering Cancer Center,US,A5056600997,0000-0001-6119-0889,453,4178,31,101,4.974489795918367,Global Cancer Incidence and Screening | Economic and Financial Impacts of Cancer | Palliative Care and End-of-Life Issues | Prostate Cancer Treatment and Research | Prostate Cancer Diagnosis and Treatment,Artificial Intelligence in Healthcare and Education,"Medical education, Medicine, Family medicine, MEDLINE, Continuing medical education",41961831,No data,No data,Edward Christopher Dee,"Department of Radiation Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",57202136994,Edward Christopher Dee,60009343,No data,0,,41094428,NOT_FOUND_IN_SS,NO_ORCID_SS,29,3665,30,3918,361,"Sociology and Political Science | Critical Care and Intensive Care Medicine | Public Health, Environmental and Occupational Health | Immunology and Allergy | Otorhinolaryngology | Computer Science (all) | Immunology and Microbiology (all) | Health Policy | Epidemiology | Information Systems | Surgery | Anesthesiology and Pain Medicine | Pulmonary and Respiratory Medicine | Experimental and Cognitive Psychology | Radiological and Ultrasound Technology | Clinical Biochemistry | Embryology | Hematology | Immunology | Genetics | Histology | Agricultural and Biological Sciences (all) | Cardiology and Cardiovascular Medicine | Endocrinology, Diabetes and Metabolism | Signal Processing | Anatomy | Nursing (all) | Obstetrics and Gynecology | Aging | Computer Networks and Communications | Pharmacology (medical) | Oncology (nursing) | Biological Psychiatry | Medical and Surgical Nursing | Cancer Research | Biomedical Engineering | Neurology (clinical) | Medicine (all) | Urology | Health Informatics | Medicine (miscellaneous) | Rheumatology | Radiology, Nuclear Medicine and Imaging | Internal Medicine | Multidisciplinary | Psychiatry and Mental Health | Review and Exam Preparation | Dermatology | Molecular Medicine | Education | Sensory Systems | Oncology | Gastroenterology | Rehabilitation | Anthropology | Pediatrics, Perinatology and Child Health | Clinical Psychology | Infectious Diseases | Toxicology | Orthopedics and Sports Medicine | Pharmacology | Veterinary (all) | Health Information Management | Radiation | Endocrinology | Health (social science) | Oral Surgery | Computer Science Applications | Neuroscience (miscellaneous) | Biochemistry | Geriatrics and Gerontology | Neurology | Political Science and International Relations | Family Practice | Biochemistry, Genetics and Molecular Biology (all) | Ophthalmology | Hepatology",Mid-level (8 yrs),EPLEf60AAAAJ,Radiation Oncology,No employment data listed in ORCID,Male,CLINICAL | Male
The physician as a catalyst: Reimagining medical education for an AI era,10.1080/0142159X.2026.2653205,2026,False,No data,Samarra Toby,middle,False,Vitality Institute,US,A5133340973,No data,1,0,0,0,0.0,Artificial Intelligence in Healthcare and Education | Clinical Reasoning and Diagnostic Skills | Educational Leadership and Innovation,Artificial Intelligence in Healthcare and Education,"Medical education, Medicine, Family medicine, MEDLINE, Continuing medical education",41961831,No data,No data,Samarra Toby,"The Prince Charles Hospital, Brisbane, Queensland, Australia.",59530687000,Samarra Toby,60003208,No data,0,,2339265923,Samarra Toby,NO_ORCID_SS,2,14,1,10,2,Education | Developmental and Educational Psychology | Medicine (all),Early-career (1 yrs),NOT_FOUND,Artificial Intelligence in Healthcare and Education | Clinical Reasoning and Diagnostic Skills | Educational Leadership and Innovation (via OpenAlex),No ORCID ID,Female,CLINICAL | Female
The physician as a catalyst: Reimagining medical education for an AI era,10.1080/0142159X.2026.2653205,2026,False,No data,Mena Ramos,middle,False,American Institute of Ultrasound in Medicine,US,A5031807447,No data,10,120,5,4,2.0,Ultrasound in Clinical Applications | Radiology practices and education | Artificial Intelligence in Healthcare and Education | Autism Spectrum Disorder Research | Child and Adolescent Psychosocial and Emotional Development,Artificial Intelligence in Healthcare and Education,"Medical education, Medicine, Family medicine, MEDLINE, Continuing medical education",41961831,No data,No data,Mena Ramos,"Department of Family and Community Medicine, Global Ultrasound Institute, University of California San Francisco, San Francisco, CA, USA.",57200538917,Mena Ramos,60031970,No data,0,,39640706,Mena Ramos,NO_ORCID_SS,4,69,4,61,6,Family Practice | Health Informatics | Medicine (all) | Education,Mid-level (8 yrs),NOT_FOUND,Ultrasound in Clinical Applications | Radiology practices and education | Artificial Intelligence in Healthcare and Education | Autism Spectrum Disorder Research | Child and Adolescent Psychosocial and Emotional Development (via OpenAlex),No ORCID ID,Unknown,CLINICAL | Female
The physician as a catalyst: Reimagining medical education for an AI era,10.1080/0142159X.2026.2653205,2026,False,No data,Leo Anthony Celi,last,True,Harvard University,US,A5031401755,0000-0001-6712-6626,744,37527,76,338,20.829896907216494,Artificial Intelligence in Healthcare and Education | Sepsis Diagnosis and Treatment | Machine Learning in Healthcare | Hemodynamic Monitoring and Therapy | COVID-19 diagnosis using AI,Artificial Intelligence in Healthcare and Education,"Medical education, Medicine, Family medicine, MEDLINE, Continuing medical education",41961831,No data,No data,Leo Anthony Celi,"Laboratory for Computational Physiology, Massachusetts Institute of Technology, Cambridge, MA, USA.",16033282700,Leo Anthony Celi,60022195,No data,0,,2268647689,NOT_FOUND_IN_SS,NO_ORCID_SS,13,928,67,30874,532,"Neuroscience (all) | Information Systems | Microbiology | Epidemiology | Clinical Biochemistry | Pollution | Computer Graphics and Computer-Aided Design | Biochemistry, Genetics and Molecular Biology (all) | Transplantation | Statistics, Probability and Uncertainty | Sociology and Political Science | Physiology | Pharmaceutical Science | Hematology | Radiological and Ultrasound Technology | Mechanical Engineering | Computational Theory and Mathematics | Pathology and Forensic Medicine | Instrumentation | Nephrology | Pulmonary and Respiratory Medicine | Cell Biology | Political Science and International Relations | Dentistry (miscellaneous) | Advanced and Specialized Nursing | Statistics and Probability | Family Practice | Radiology, Nuclear Medicine and Imaging | Hepatology | Health (social science) | Pharmacology | Respiratory Care | Artificial Intelligence | Multidisciplinary | Ophthalmology | Emergency Medicine | Software | Critical Care Nursing | Engineering (miscellaneous) | Applied Mathematics | Linguistics and Language | Computer Networks and Communications | Electrical and Electronic Engineering | Infectious Diseases | Modeling and Simulation | Orthopedics and Sports Medicine | Health Information Management | Economics, Econometrics and Finance (all) | Endocrinology, Diabetes and Metabolism | Emergency Nursing | Surgery | Health Professions  (all) | Developmental Biology | Nursing (all) | Aging | Drug Discovery | Microbiology (medical) | Public Health, Environmental and Occupational Health | Cardiology and Cardiovascular Medicine | Education | Medical and Surgical Nursing | Health Policy | Agricultural and Biological Sciences (all) | Signal Processing | Pharmacy | Computer Vision and Pattern Recognition | Leadership and Management | Environmental Science (all) | Atmospheric Science | Health, Toxicology and Mutagenesis | Biophysics | Oncology | Computer Science (all) | Anesthesiology and Pain Medicine | Physiology (medical) | Geriatrics and Gerontology | Physical Therapy, Sports Therapy and Rehabilitation | Engineering (all) | Control and Systems Engineering | Language and Linguistics | Environmental Science (miscellaneous) | Biochemistry (medical) | Library and Information Sciences | Internal Medicine | Psychiatry and Mental Health | Endocrinology | Toxicology | Human-Computer Interaction | Cancer Research | Neurology (clinical) | Biomedical Engineering | Dermatology | Management Science and Operations Research | Business, Management and Accounting (all) | Theoretical Computer Science | Gastroenterology | Virology | Materials Science (all) | Sensory Systems | Medicine (all) | Assessment and Diagnosis | Issues, Ethics and Legal Aspects | Obstetrics and Gynecology | Health Informatics | Molecular Biology | Physics and Astronomy (all) | Oncology (nursing) | Information Systems and Management | Decision Sciences (miscellaneous) | Medicine (miscellaneous) | Chemistry (all) | Pharmacology (medical) | Critical Care and Intensive Care Medicine | Public Administration | Biotechnology | Social Sciences (miscellaneous) | Hardware and Architecture | Computer Science Applications",Senior (19 yrs),kssA7YwAAAAJ,No explicit interests listed,No employment data listed in ORCID,Male,HYBRID_MED_TECH | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Aya El Mir,first,True,New York University Abu Dhabi,AE,A5113001208,No data,3,1,1,0,0.0,EEG and Brain-Computer Interfaces | Functional Brain Connectivity Studies | Advanced MRI Techniques and Applications | Ethics and Social Impacts of AI | Data-Driven Disease Surveillance,Machine Learning in Healthcare,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Aya El Mir,"Department of Engineering, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates.",58540969400,Aya El Mir,60104576,No data,0,,2299698551,A. El Mir,NO_ORCID_SS,0,0,2,6,4,Health Informatics | Computer Science Applications | Instrumentation | Media Technology | Computer Vision and Pattern Recognition | Signal Processing | Clinical Biochemistry | Biomedical Engineering | Medical Laboratory Technology | Artificial Intelligence,Early-career (3 yrs),pyOhpi0AAAAJ,Machine Learning | Healthcare | Data Science | Responsible AI,No ORCID ID,Female,HYBRID_MED_TECH | Female
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Eric Bezerra de Sousa,middle,False,Universidade de São Paulo,BR,A5122952106,No data,2,0,0,0,0.0,Machine Learning in Healthcare | Electronic Health Records Systems | Ethics and Social Impacts of AI | Artificial Intelligence in Healthcare and Education | Data-Driven Disease Surveillance,Machine Learning in Healthcare,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Eric Bezerra de Sousa,"Faculty of Medicine, University of Sao Paulo, Sao Paulo, Brazil.",60373474500,Eric Bezerra de Sousa,60008088,No data,0,,2404426878,Eric Bezerra de Sousa,NO_ORCID_SS,0,0,0,0,1,Health Informatics,Early-career (0 yrs),NOT_FOUND,Machine Learning in Healthcare | Electronic Health Records Systems | Ethics and Social Impacts of AI | Artificial Intelligence in Healthcare and Education | Data-Driven Disease Surveillance (via OpenAlex),No ORCID ID,Male,HYBRID_MED_TECH | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Ignacio Mesina-Estarrón,middle,False,Children's Hospital of Orange County,US,A5122918927,No data,5,0,0,0,0.0,Neurological disorders and treatments | Machine Learning in Healthcare | Electronic Health Records Systems | Intracranial Aneurysms: Treatment and Complications | Advanced Causal Inference Techniques,Machine Learning in Healthcare,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Ignacio Mesina-Estarrón,"Department of Neurosurgery, Children's Hospital of Orange County, Orange, California, United States of America.",59194358900,Ignacio Mesina-Estarrón,60006322,No data,0,,2335963945,NOT_FOUND_IN_SS,NO_ORCID_SS,2,13,2,10,8,Medicine (all) | Multidisciplinary | Orthopedics and Sports Medicine | Surgery | Critical Care and Intensive Care Medicine | Health Informatics | Neurology (clinical),Early-career (2 yrs),dJ1cLxcAAAAJ,Neurosurgery,No ORCID ID,Male,CLINICAL | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Leo Anthony Celi,middle,False,Beth Israel Deaconess Medical Center,US,A5122921033,No data,2,0,0,0,0.0,Ethics and Social Impacts of AI | Healthcare Decision-Making and Restraints | Data-Driven Disease Surveillance | Free Will and Agency | Restraint-Related Deaths,Machine Learning in Healthcare,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Leo Anthony Celi,"Laboratory for Computational Physiology, Massachusetts Institute of Technology, Massachusetts, United States of America.",16033282700,Leo Anthony Celi,60022195,No data,0,,2268647689,NOT_FOUND_IN_SS,NO_ORCID_SS,13,928,67,30874,532,"Neuroscience (all) | Information Systems | Microbiology | Epidemiology | Clinical Biochemistry | Pollution | Computer Graphics and Computer-Aided Design | Biochemistry, Genetics and Molecular Biology (all) | Transplantation | Statistics, Probability and Uncertainty | Sociology and Political Science | Physiology | Pharmaceutical Science | Hematology | Radiological and Ultrasound Technology | Mechanical Engineering | Computational Theory and Mathematics | Pathology and Forensic Medicine | Instrumentation | Nephrology | Pulmonary and Respiratory Medicine | Cell Biology | Political Science and International Relations | Dentistry (miscellaneous) | Advanced and Specialized Nursing | Statistics and Probability | Family Practice | Radiology, Nuclear Medicine and Imaging | Hepatology | Health (social science) | Pharmacology | Respiratory Care | Artificial Intelligence | Multidisciplinary | Ophthalmology | Emergency Medicine | Software | Critical Care Nursing | Engineering (miscellaneous) | Applied Mathematics | Linguistics and Language | Computer Networks and Communications | Electrical and Electronic Engineering | Infectious Diseases | Modeling and Simulation | Orthopedics and Sports Medicine | Health Information Management | Economics, Econometrics and Finance (all) | Endocrinology, Diabetes and Metabolism | Emergency Nursing | Surgery | Health Professions  (all) | Developmental Biology | Nursing (all) | Aging | Drug Discovery | Microbiology (medical) | Public Health, Environmental and Occupational Health | Cardiology and Cardiovascular Medicine | Education | Medical and Surgical Nursing | Health Policy | Agricultural and Biological Sciences (all) | Signal Processing | Pharmacy | Computer Vision and Pattern Recognition | Leadership and Management | Environmental Science (all) | Atmospheric Science | Health, Toxicology and Mutagenesis | Biophysics | Oncology | Computer Science (all) | Anesthesiology and Pain Medicine | Physiology (medical) | Geriatrics and Gerontology | Physical Therapy, Sports Therapy and Rehabilitation | Engineering (all) | Control and Systems Engineering | Language and Linguistics | Environmental Science (miscellaneous) | Biochemistry (medical) | Library and Information Sciences | Internal Medicine | Psychiatry and Mental Health | Endocrinology | Toxicology | Human-Computer Interaction | Cancer Research | Neurology (clinical) | Biomedical Engineering | Dermatology | Management Science and Operations Research | Business, Management and Accounting (all) | Theoretical Computer Science | Gastroenterology | Virology | Materials Science (all) | Sensory Systems | Medicine (all) | Assessment and Diagnosis | Issues, Ethics and Legal Aspects | Obstetrics and Gynecology | Health Informatics | Molecular Biology | Physics and Astronomy (all) | Oncology (nursing) | Information Systems and Management | Decision Sciences (miscellaneous) | Medicine (miscellaneous) | Chemistry (all) | Pharmacology (medical) | Critical Care and Intensive Care Medicine | Public Administration | Biotechnology | Social Sciences (miscellaneous) | Hardware and Architecture | Computer Science Applications",Senior (19 yrs),kssA7YwAAAAJ,No explicit interests listed,No ORCID ID,Male,HYBRID_MED_TECH | Male
Moving beyond the empty cell: The threat of decontextualized healthcare data,10.1371/journal.pdig.0001194,2026,True,No data,Moad Hani,middle,False,University of Mons,BE,A5043121269,0000-0003-2342-495X,17,54,3,2,0.0,Parkinson's Disease Mechanisms and Treatments | Machine Learning in Healthcare | Voice and Speech Disorders | Privacy-Preserving Technologies in Data | IoT and Edge/Fog Computing,Machine Learning in Healthcare,"Context (archaeology), Data science, Health care, Citizen journalism, Corporate governance",41528993,No data,No data,Moad Hani,"Department of Computer Engineering and Management, Faculty of Engineering, University of Mons (UMONS), Mons, Belgium.",57802343600,Moad Hani,60010758,No data,0,,2173972786,Moad Hani,NO_ORCID_SS,3,37,3,54,6,"Computer Networks and Communications | Hardware and Architecture | Electrical and Electronic Engineering | Control and Systems Engineering | Mathematics (all) | Computer Science (all) | Signal Processing | Information Systems and Management | Health Informatics | Safety, Risk, Reliability and Quality | Information Systems",Early-career (4 yrs),NOT_FOUND,Parkinson's Disease Mechanisms and Treatments | Machine Learning in Healthcare | Voice and Speech Disorders | Privacy-Preserving Technologies in Data | IoT and Edge/Fog Computing (via OpenAlex),No employment data listed in ORCID,Male,COMPUTER_SCIENCE | Male
